Date,Day of the Week,Amount,Description,Category,Method of Payment,Need/Want/Saving
,,,,Housing,Cash,Need
1/8/24,Monday,500,car payment,Bills,Debit,Need
1/27/24,Saturday,60,phone bills,Bills,Debit,Need
1/28/24,Sunday,20,starbucks,Food,Debit,Want
1/28/24,Sunday,324,grocery,Food,Debit,Need
1/29/24,Monday,15.6,gas,Travel,Debit,Need
1/29/24,Monday,61.93,Trader Joes,Food,Debit,Need
1/29/24,Monday,5,Primo water,Food,Debit,Need
1/30/24,Tuesday,20.43,pizza,Entertainment and Recreation,Debit,Want
1/30/24,Tuesday,78.2,wings stop,Entertainment and Recreation,Debit,Want
1/30/24,Tuesday,51.99,cake,Entertainment and Recreation,Debit,Want
1/30/24,Tuesday,209.38,tire,Travel,Debit,Want
1/31/24,Tuesday,19.04,gas,Travel,Debit,Need
2/1/24,Thursday,15,gas,Travel,Debit,Need
2/4/24,Sunday,29.56,Truffle poke,Food,Debit,Want
2/5/24,Monday,9.99,Disney Plus,Entertainment,Debit,Want
2/5/24,Monday,25,Dorian Studio,Bills,Debit,Want
2/5/24,Monday,10,starbucks,Food,Debit,want
2/7/24,Wednesday,30.56,Uber Eats,Food,Debit,Need
2/7/24,Wednesday,500,car payment,Bills,Debit,Need